09-09-2024 23:41:49|E0001|Packing
09-09-2024 23:41:56|E0001|Shipping
09-09-2024 23:42:03|E0001|Shipped
09-09-2024 23:42:08|E0002|Packing
09-09-2024 23:42:18|E0002|Shipped
09-09-2024 23:44:54|E0003|Packing
09-09-2024 23:44:59|E0003|Shipping
09-09-2024 23:45:04|E0003|Shipped
13-09-2024 20:17:13|E0004|Shipped
16-09-2024 23:25:49|E0005|Shipped
16-09-2024 23:26:00|E0006|Shipped
16-09-2024 23:33:58|E0007|Shipped
17-09-2024 22:37:17|E0008|Shipped
18-09-2024 17:10:54|E0009|Packing
18-09-2024 17:10:54|E0009|Shipping
18-09-2024 17:10:54|E0009|Shipped
21-09-2024 11:49:41|E0010|Packing
21-09-2024 11:49:52|E0010|Shipping
21-09-2024 11:50:24|E0010|Shipped
